Date,Cloture,Ouverture,Haut,Bas,Variation
2010-01-01,10928.44,10446.12,11008.0,10222.49,4.64
2010-02-01,11096.8,10924.53,11113.5,10818.01,1.54
2010-03-01,11418.77,11097.27,11589.83,10912.4,2.9
2010-04-01,12286.99,11413.63,12286.99,11285.4,7.6
2010-05-01,12068.53,12279.74,12492.03,11881.88,-1.78
2010-06-01,11773.87,12058.72,12330.76,11752.57,-2.44
2010-07-01,11782.52,11773.45,11967.57,11628.67,0.07
2010-08-01,11736.15,11769.7,11795.85,11453.64,-0.39
2010-09-01,11896.36,11704.96,11930.36,11613.91,1.37
2010-10-01,12196.7,11899.75,12401.73,11608.03,2.52
2010-11-01,12224.2,12155.66,12326.38,12055.69,0.23
2010-12-01,12655.2,12244.69,12989.22,12232.36,3.53
2011-01-01,12589.31,12631.48,13401.32,12537.27,-0.52
2011-02-01,12805.81,12668.57,12984.01,12142.14,1.72
2011-03-01,12173.79,12764.61,12885.94,12173.79,-4.94
2011-04-01,11551.5,12159.66,12263.34,11551.45,-5.11
2011-05-01,12196.7,11559.04,12223.77,11559.04,5.59
2011-06-01,11510.93,12197.66,12219.93,11447.22,-5.62
2011-07-01,11202.95,11475.44,11607.68,11154.09,-2.68
2011-08-01,11517.14,11141.32,11517.51,10716.54,2.8
2011-09-01,11467.63,11539.33,11837.78,11207.02,-0.43
2011-10-01,11352.19,11463.87,11546.85,11279.06,-1.01
2011-11-01,10952.68,11320.33,11326.08,10823.89,-3.52
2011-12-01,11027.65,10933.85,11392.21,10779.94,0.68
2012-01-01,11211.71,11119.31,11211.72,10922.75,1.67
2012-02-01,11398.94,11196.89,11575.87,11171.36,1.67
2012-03-01,10948.45,11398.85,11439.81,10874.28,-3.95
2012-04-01,10293.9,10940.48,10960.95,10218.11,-5.98
2012-05-01,10286.99,10271.6,10366.87,9698.11,-0.07
2012-06-01,10053.9,10279.55,10307.45,9867.14,-2.27
2012-07-01,9849.77,10006.57,10094.88,9668.79,-2.03
2012-08-01,9944.22,9796.84,9983.95,9761.75,0.96
2012-09-01,9471.8,9890.95,9972.18,9456.16,-4.75
2012-10-01,9504.55,9464.7,9658.85,9068.25,0.35
2012-11-01,9733.62,9490.18,9863.79,9396.93,2.41
2012-12-01,9359.19,9716.69,9784.31,9320.75,-3.85
2013-01-01,8996.43,9319.67,9410.14,8818.04,-3.88
2013-02-01,8932.82,8994.62,9045.47,8803.97,-0.71
2013-03-01,9040.96,8879.23,9054.96,8711.7,1.21
2013-04-01,9145.51,9019.86,9299.48,9011.71,1.16
2013-05-01,8906.65,9088.61,9279.85,8727.85,-2.61
2013-06-01,8792.15,8902.47,8959.1,8660.71,-1.29
2013-07-01,8577.59,8732.11,8809.64,8548.74,-2.44
2013-08-01,8413.72,8553.66,8584.18,8334.51,-1.91
2013-09-01,8673.49,8407.03,8815.14,8358.1,3.09
2013-10-01,9385.49,8659.87,9497.98,8590.93,8.21
2013-11-01,9262.49,9366.12,9374.81,9114.01,-1.31
2013-12-01,9114.14,9259.18,9367.56,9114.14,-1.6
2014-01-01,9121.28,9093.22,9271.02,9069.63,0.08
2014-02-01,9442.36,9126.6,9442.36,9081.57,3.52
2014-03-01,9519.21,9405.73,9648.36,9402.78,0.81
2014-04-01,9471.64,9508.48,9600.22,9456.49,-0.5
2014-05-01,9494.79,9458.5,9503.85,9330.82,0.24
2014-06-01,9226.63,9495.53,9511.6,9184.92,-2.82
2014-07-01,9331.09,9195.41,9339.29,9171.58,1.13
2014-08-01,9544.69,9284.08,9579.05,9272.66,2.29
2014-09-01,10080.8,9543.56,10080.8,9517.7,5.62
2014-10-01,10352.05,10050.72,10364.56,9967.84,2.69
2014-11-01,9975.71,10328.64,10381.72,9949.45,-3.64
2014-12-01,9620.11,9970.51,10015.5,9532.27,-3.56
2015-01-01,10222.56,9565.92,10381.58,9565.92,6.26
2015-02-01,10460.62,10203.91,10481.97,10138.68,2.33
2015-03-01,10269.75,10434.34,10547.66,10256.73,-1.82
2015-04-01,9937.38,10255.84,10268.08,9854.58,-3.24
2015-05-01,9711.36,9925.82,10002.57,9533.61,-2.27
2015-06-01,9578.34,9708.62,9737.31,9481.63,-1.37
2015-07-01,9740.01,9576.35,9750.01,9505.02,1.69
2015-08-01,9345.7,9812.28,9892.79,9252.66,-4.05
2015-09-01,9114.29,9290.98,9338.87,9037.5,-2.48
2015-10-01,9081.8,9110.38,9136.52,8921.04,-0.36
2015-11-01,9093.21,9073.76,9309.51,9044.11,0.13
2015-12-01,8925.71,9085.12,9116.88,8789.89,-1.84
