Date,Cours,Ouverture,Haut,Bas,Variation,Devise
2026-01-30,10.8109,10.8274,10.8495,10.7941,-0.15,EUR/MAD
2026-01-29,10.8274,10.822,10.8568,10.8024,0.04,EUR/MAD
2026-01-28,10.8226,10.9024,10.9072,10.7934,-0.74,EUR/MAD
2026-01-27,10.9029,10.7898,10.9368,10.7688,1.09,EUR/MAD
2026-01-26,10.7857,10.7734,10.8331,10.7678,0.11,EUR/MAD
2026-01-23,10.7738,10.7598,10.7887,10.7389,-0.06,EUR/MAD
2026-01-22,10.7805,10.7388,10.782,10.7172,0.38,EUR/MAD
2026-01-21,10.7397,10.7479,10.7744,10.7231,-0.14,EUR/MAD
2026-01-20,10.7549,10.7335,10.7903,10.7151,0.23,EUR/MAD
2026-01-19,10.7302,10.6857,10.745,10.6751,0.22,EUR/MAD
2026-01-16,10.7069,10.7112,10.7294,10.6915,-0.04,EUR/MAD
2026-01-15,10.7112,10.7266,10.7446,10.7021,-0.19,EUR/MAD
2026-01-14,10.7314,10.7262,10.7542,10.7093,0.05,EUR/MAD
2026-01-13,10.7257,10.7404,10.7579,10.7105,-0.17,EUR/MAD
2026-01-12,10.744,10.7417,10.8104,10.7288,-0.06,EUR/MAD
2026-01-09,10.7503,10.7648,10.7837,10.7373,-0.13,EUR/MAD
2026-01-08,10.7648,10.7587,10.7744,10.7391,0.05,EUR/MAD
2026-01-07,10.7589,10.7228,10.7883,10.7199,0.33,EUR/MAD
2026-01-06,10.7237,10.7389,10.771,10.7189,-0.14,EUR/MAD
2026-01-05,10.7384,10.696,10.7473,10.648,0.43,EUR/MAD
2026-01-02,10.6923,10.7075,10.7369,10.6875,-0.11,EUR/MAD
2026-01-01,10.7043,10.7112,10.7133,10.7016,-0.07,EUR/MAD
2025-12-31,10.7113,10.7113,10.7271,10.6885,0.0,EUR/MAD
2025-12-30,10.7113,10.7164,10.7266,10.6906,-0.06,EUR/MAD
2025-12-29,10.7177,10.735,10.7496,10.6932,-0.25,EUR/MAD
2025-12-26,10.7448,10.7218,10.7541,10.7205,0.24,EUR/MAD
2025-12-25,10.7195,10.7278,10.7511,10.7172,-0.08,EUR/MAD
2025-12-24,10.7279,10.7671,10.7752,10.7231,-0.36,EUR/MAD
2025-12-23,10.7671,10.7417,10.7801,10.7287,0.14,EUR/MAD
2025-12-22,10.7517,10.7288,10.7623,10.7203,0.15,EUR/MAD
2025-12-19,10.7353,10.738,10.7589,10.7206,-0.17,EUR/MAD
2025-12-18,10.7538,10.7511,10.7726,10.7206,0.03,EUR/MAD
2025-12-17,10.7511,10.7569,10.7628,10.7238,-0.08,EUR/MAD
2025-12-16,10.7592,10.7872,10.7962,10.748,-0.27,EUR/MAD
2025-12-15,10.7881,10.7858,10.8006,10.7663,-0.02,EUR/MAD
2025-12-12,10.7903,10.7706,10.8109,10.7585,0.18,EUR/MAD
2025-12-11,10.7707,10.7732,10.794,10.7556,-0.02,EUR/MAD
2025-12-10,10.7732,10.7602,10.7919,10.7453,0.12,EUR/MAD
2025-12-09,10.7606,10.7805,10.792,10.7459,-0.19,EUR/MAD
2025-12-08,10.7815,10.7457,10.804,10.7367,0.27,EUR/MAD
2025-12-05,10.7526,10.7532,10.7783,10.7346,-0.01,EUR/MAD
2025-12-04,10.7532,10.7663,10.784,10.7414,-0.14,EUR/MAD
2025-12-03,10.7678,10.7335,10.7874,10.7297,0.32,EUR/MAD
2025-12-02,10.7336,10.7472,10.7639,10.7236,-0.11,EUR/MAD
2025-12-01,10.7458,10.7428,10.7741,10.7296,-0.03,EUR/MAD
2025-11-28,10.7494,10.7375,10.7681,10.7172,0.11,EUR/MAD
2025-11-27,10.7375,10.7213,10.7572,10.6998,0.15,EUR/MAD
2025-11-26,10.7213,10.7254,10.7383,10.6963,-0.04,EUR/MAD
2025-11-25,10.7254,10.7049,10.7323,10.685,0.19,EUR/MAD
2025-11-24,10.7049,10.6854,10.7158,10.6756,0.06,EUR/MAD
2025-11-21,10.6988,10.6996,10.7228,10.6793,-0.02,EUR/MAD
2025-11-20,10.7013,10.7003,10.7187,10.6774,0.0,EUR/MAD
2025-11-19,10.7014,10.7197,10.7395,10.6847,-0.18,EUR/MAD
2025-11-18,10.7205,10.7334,10.7397,10.6995,-0.12,EUR/MAD
2025-11-17,10.7329,10.7329,10.7442,10.6989,-0.09,EUR/MAD
2025-11-14,10.7428,10.7605,10.774,10.7198,-0.15,EUR/MAD
2025-11-13,10.7586,10.7602,10.7843,10.7391,-0.02,EUR/MAD
2025-11-12,10.7606,10.7442,10.7715,10.7287,0.15,EUR/MAD
2025-11-11,10.7443,10.7183,10.7636,10.6994,0.19,EUR/MAD
2025-11-10,10.7234,10.7101,10.7372,10.6861,0.05,EUR/MAD
2025-11-07,10.7182,10.7136,10.738,10.6936,0.04,EUR/MAD
2025-11-06,10.7138,10.6965,10.7246,10.6865,0.16,EUR/MAD
2025-11-05,10.6967,10.6957,10.7124,10.6733,0.01,EUR/MAD
2025-11-04,10.6957,10.7261,10.7437,10.6789,-0.29,EUR/MAD
2025-11-03,10.7265,10.7138,10.7463,10.691,0.1,EUR/MAD
2025-10-31,10.7157,10.7121,10.7491,10.6947,0.03,EUR/MAD
2025-10-30,10.7121,10.7263,10.7517,10.6947,-0.14,EUR/MAD
2025-10-29,10.7267,10.7377,10.7523,10.6996,-0.12,EUR/MAD
2025-10-28,10.7401,10.7201,10.764,10.7142,0.19,EUR/MAD
2025-10-27,10.7201,10.7259,10.7523,10.7104,-0.16,EUR/MAD
2025-10-24,10.737,10.7263,10.7539,10.6995,0.1,EUR/MAD
2025-10-23,10.7263,10.7283,10.7517,10.7043,-0.01,EUR/MAD
2025-10-22,10.7279,10.7192,10.7569,10.7014,0.08,EUR/MAD
2025-10-21,10.7192,10.7176,10.7311,10.6732,-0.02,EUR/MAD
2025-10-20,10.721,10.6882,10.7487,10.6758,0.34,EUR/MAD
2025-10-17,10.6847,10.7272,10.7634,10.6639,-0.4,EUR/MAD
2025-10-16,10.7271,10.6936,10.7788,10.6801,0.31,EUR/MAD
2025-10-15,10.6936,10.6413,10.6984,10.63,0.49,EUR/MAD
