Date,Cours,Ouverture,Haut,Bas,Variation,Devise
2026-01-30,9.1231,9.0437,9.1255,9.0376,0.86,USD/MAD
2026-01-29,9.0451,9.053,9.086,9.0297,-0.09,USD/MAD
2026-01-28,9.0535,9.0543,9.0837,9.0157,-0.01,USD/MAD
2026-01-27,9.0544,9.082,9.0987,9.032,-0.3,USD/MAD
2026-01-26,9.0819,9.1171,9.1271,9.0655,-0.28,USD/MAD
2026-01-23,9.1072,9.153,9.1773,9.1032,-0.69,USD/MAD
2026-01-22,9.1706,9.1913,9.2029,9.152,-0.24,USD/MAD
2026-01-21,9.1925,9.1671,9.2066,9.1574,0.21,USD/MAD
2026-01-20,9.173,9.2165,9.223,9.1528,-0.44,USD/MAD
2026-01-19,9.2136,9.233,9.2338,9.206,-0.19,USD/MAD
2026-01-16,9.231,9.232,9.2462,9.2026,0.04,USD/MAD
2026-01-15,9.2274,9.2125,9.2464,9.2031,0.12,USD/MAD
2026-01-14,9.2167,9.213,9.2265,9.1961,0.05,USD/MAD
2026-01-13,9.2125,9.2054,9.2284,9.1932,0.04,USD/MAD
2026-01-12,9.2084,9.2456,9.2518,9.1935,-0.31,USD/MAD
2026-01-09,9.2372,9.2327,9.2601,9.2155,0.05,USD/MAD
2026-01-08,9.2327,9.2138,9.2419,9.2031,0.18,USD/MAD
2026-01-07,9.2159,9.1755,9.2309,9.1678,0.45,USD/MAD
2026-01-06,9.1746,9.1613,9.1997,9.1414,0.15,USD/MAD
2026-01-05,9.1613,9.146,9.1956,9.1417,0.42,USD/MAD
2026-01-02,9.1231,9.118,9.158,9.1073,0.11,USD/MAD
2026-01-01,9.1135,9.1194,9.122,9.1133,-0.07,USD/MAD
2025-12-31,9.1195,9.1173,9.1454,9.1007,0.02,USD/MAD
2025-12-30,9.1175,9.1028,9.1217,9.085,0.16,USD/MAD
2025-12-29,9.1029,9.1197,9.1213,9.0876,-0.26,USD/MAD
2025-12-26,9.127,9.121,9.1325,9.1069,0.29,USD/MAD
2025-12-25,9.1009,9.1079,9.127,9.1006,-0.08,USD/MAD
2025-12-24,9.108,9.1289,9.1365,9.1002,-0.23,USD/MAD
2025-12-23,9.1289,9.1337,9.1445,9.1064,-0.15,USD/MAD
2025-12-22,9.1422,9.1673,9.1743,9.1248,-0.28,USD/MAD
2025-12-19,9.168,9.1605,9.1819,9.1418,-0.07,USD/MAD
2025-12-18,9.174,9.1573,9.1802,9.1368,0.18,USD/MAD
2025-12-17,9.1573,9.1595,9.1822,9.1416,-0.02,USD/MAD
2025-12-16,9.1595,9.18,9.1867,9.124,-0.21,USD/MAD
2025-12-15,9.1786,9.1818,9.2021,9.1643,-0.13,USD/MAD
2025-12-12,9.1907,9.1754,9.2184,9.1661,0.17,USD/MAD
2025-12-11,9.1755,9.2114,9.2289,9.1597,-0.39,USD/MAD
2025-12-10,9.2116,9.2549,9.2606,9.2069,-0.47,USD/MAD
2025-12-09,9.2552,9.2474,9.2693,9.2343,0.05,USD/MAD
