Secteur,Year,IDE_value
Industrie,2007,3314.3999999999996
Immobilier,2007,7590.8
Commerce,2007,343.7
Energie et mines,2007,2818.5
Tourisme,2007,12421.7
Holding,2007,847.8
Banque,2007,1823.7
Assurance,2007,21.4
Agriculture,2007,33.0
Transports,2007,2737.5
Grands travaux,2007,532.1
Télécommunications,2007,3086.9
Pêche,2007,3.7
Autres services,2007,2255.9
Divers secteurs,2007,127.90000000000146
TOTAL,2007,37959.0
Industrie,2008,1784.0
Immobilier,2008,9152.0
Commerce,2008,179.70000000000002
Energie et mines,2008,1568.4
Tourisme,2008,5674.9
Holding,2008,2209.2
Banque,2008,4959.599999999999
Assurance,2008,200.7
Agriculture,2008,27.0
Transports,2008,175.9
Grands travaux,2008,252.29999999999998
Télécommunications,2008,230.1
Pêche,2008,21.6
Autres services,2008,1493.6000000000001
Divers secteurs,2008,34.00000000000364
TOTAL,2008,27963.0
Industrie,2009,2724.9
Immobilier,2009,5554.6
Commerce,2009,180.2
Energie et mines,2009,155.0
Tourisme,2009,2872.7
Holding,2009,171.2
Banque,2009,6444.8
Assurance,2009,451.6
Agriculture,2009,25.6
Transports,2009,379.2
Grands travaux,2009,112.1
Télécommunications,2009,5340.7
Pêche,2009,0.8
Autres services,2009,795.9000000000001
Divers secteurs,2009,40.400000000001455
TOTAL,2009,25249.7
Industrie,2010,4772.1
Immobilier,2010,7268.4
Commerce,2010,1240.0
Energie et mines,2010,754.0
Tourisme,2010,4058.9
Holding,2010,961.1999999999999
Banque,2010,4562.7
Assurance,2010,206.6
Agriculture,2010,60.6
Transports,2010,593.5
Grands travaux,2010,424.09999999999997
Télécommunications,2010,8754.199999999999
Pêche,2010,21.200000000000003
Autres services,2010,1337.6000000000001
Divers secteurs,2010,53.20000000001164
TOTAL,2010,35068.3
Industrie,2011,6129.5
Immobilier,2011,8118.5
Commerce,2011,1755.8999999999999
Energie et mines,2011,1799.2
Tourisme,2011,2564.8
Holding,2011,1172.6
Banque,2011,1357.3999999999999
Assurance,2011,148.60000000000002
Agriculture,2011,92.39999999999999
Transports,2011,302.1
Grands travaux,2011,570.7
Télécommunications,2011,420.79999999999995
Pêche,2011,20.0
Autres services,2011,1440.1999999999998
Divers secteurs,2011,167.50000000000364
TOTAL,2011,26060.2
Industrie,2012,8169.0
Immobilier,2012,7331.5
Commerce,2012,1479.7
Energie et mines,2012,5591.8
Tourisme,2012,1680.0
Holding,2012,845.8
Banque,2012,1764.6
Assurance,2012,2094.8
Agriculture,2012,85.7
Transports,2012,294.5
Grands travaux,2012,903.0
Télécommunications,2012,54.4
Pêche,2012,2.7
Autres services,2012,1729.2
Divers secteurs,2012,65.0
TOTAL,2012,32091.7
Industrie,2013,15335.0
Immobilier,2013,7572.6
Commerce,2013,2282.0
Energie et mines,2013,2250.6
Tourisme,2013,3340.6
Holding,2013,1729.6
Banque,2013,986.7
Assurance,2013,118.2
Agriculture,2013,316.7
Transports,2013,909.5
Grands travaux,2013,1927.4
Télécommunications,2013,134.2
Pêche,2013,58.1
Autres services,2013,2024.3
Divers secteurs,2013,91.40000000001601
TOTAL,2013,39076.9
Industrie,2014,9893.0
Immobilier,2014,10790.5
Commerce,2014,2609.1
Energie et mines,2014,1419.4
Tourisme,2014,3389.5
Holding,2014,1890.9
Banque,2014,873.5
Assurance,2014,162.9
Agriculture,2014,128.7
Transports,2014,229.8
Grands travaux,2014,1679.8
Télécommunications,2014,191.5
Pêche,2014,19.1
Autres services,2014,3132.1
Divers secteurs,2014,139.6999999999971
TOTAL,2014,36549.5
Industrie,2015,8714.2
Immobilier,2015,10799.0
Commerce,2015,2565.8
Energie et mines,2015,2081.3
Tourisme,2015,2349.8
Holding,2015,2635.6
Banque,2015,840.2
Assurance,2015,170.6
Agriculture,2015,337.8
Transports,2015,394.1
Grands travaux,2015,2998.4
Télécommunications,2015,3007.0
Pêche,2015,9.1
Autres services,2015,2611.1
Divers secteurs,2015,406.0000000000073
TOTAL,2015,39920.0
Industrie,2016,9676.0
Immobilier,2016,11210.9
Commerce,2016,4654.1
Energie et mines,2016,499.3
Tourisme,2016,1080.7
Holding,2016,1585.5
Banque,2016,637.4
Assurance,2016,310.3
Agriculture,2016,374.0
Transports,2016,548.7
Grands travaux,2016,2059.4
Télécommunications,2016,192.3
Pêche,2016,51.2
Autres services,2016,2050.6
Divers secteurs,2016,420.79999999999563
TOTAL,2016,35351.2
Industrie,2017,6816.8
Immobilier,2017,9866.7
Commerce,2017,3119.5
Energie et mines,2017,2118.5
Tourisme,2017,736.6
Holding,2017,591.3
Banque,2017,1266.1
Assurance,2017,4115.6
Agriculture,2017,265.9
Transports,2017,1803.5
Grands travaux,2017,926.3
Télécommunications,2017,238.0
Pêche,2017,3.9
Autres services,2017,2012.6
Divers secteurs,2017,472.6999999999971
TOTAL,2017,34354.0
Industrie,2018,8743.4
Immobilier,2018,7148.9
Commerce,2018,4047.3
Energie et mines,2018,3886.3
Tourisme,2018,2338.6
Holding,2018,962.7
Banque,2018,864.3
Assurance,2018,9637.3
Agriculture,2018,254.1
Transports,2018,3937.1
Grands travaux,2018,1488.4
Télécommunications,2018,91.5
Pêche,2018,12.3
Autres services,2018,2566.8
Divers secteurs,2018,120.0
TOTAL,2018,46099.0
Industrie,2019,12670.0
Immobilier,2019,7078.0
Commerce,2019,1825.0
Energie et mines,2019,1337.0
Tourisme,2019,2377.0
Holding,2019,1226.0
Banque,2019,2089.0
Assurance,2019,361.0
Agriculture,2019,383.0
Transports,2019,1744.0
Grands travaux,2019,703.0
Télécommunications,2019,144.0
Pêche,2019,5.0
Autres services,2019,2353.0
Divers secteurs,2019,194.0
TOTAL,2019,34489.0
Industrie,2020,7905.0
Immobilier,2020,5770.0
Commerce,2020,2492.0
Energie et mines,2020,1825.0
Tourisme,2020,997.0
Holding,2020,757.0
Banque,2020,1147.0
Assurance,2020,27.0
Agriculture,2020,452.0
Transports,2020,970.0
Grands travaux,2020,582.0
Télécommunications,2020,756.0
Pêche,2020,28.0
Autres services,2020,2218.0
Divers secteurs,2020,79.0
TOTAL,2020,26005.0
Industrie,2021,9207.0
Immobilier,2021,6578.0
Commerce,2021,2694.0
Energie et mines,2021,1273.0
Tourisme,2021,2581.0
Holding,2021,1394.0
Banque,2021,1600.0
Assurance,2021,724.0
Agriculture,2021,1114.0
Transports,2021,1559.0
Grands travaux,2021,924.0
Télécommunications,2021,397.0
Pêche,2021,57.0
Autres services,2021,2224.0
Divers secteurs,2021,211.0
TOTAL,2021,32537.0
Industrie,2022,15224.0
Immobilier,2022,7483.0
Commerce,2022,1748.0
Energie et mines,2022,1662.0
Tourisme,2022,2237.0
Holding,2022,414.0
Banque,2022,772.0
Assurance,2022,111.0
Agriculture,2022,583.0
Transports,2022,2871.0
Grands travaux,2022,1472.0
Télécommunications,2022,1196.0
Pêche,2022,30.0
Autres services,2022,4107.0
Divers secteurs,2022,387.0
TOTAL,2022,40297.0
Industrie,2023,14265.0
Immobilier,2023,7484.0
Commerce,2023,3415.0
Energie et mines,2023,3204.0
Tourisme,2023,2359.0
Holding,2023,755.0
Banque,2023,1238.0
Assurance,2023,36.0
Agriculture,2023,654.0
Transports,2023,2050.0
Grands travaux,2023,900.0
Télécommunications,2023,148.0
Pêche,2023,163.0
Autres services,2023,2959.0
Divers secteurs,2023,115.0
TOTAL,2023,39745.0
Industrie,2024*,16464.0
Immobilier,2024*,9644.0
Commerce,2024*,2872.0
Energie et mines,2024*,2361.0
Tourisme,2024*,1843.0
Holding,2024*,1072.0
Banque,2024*,759.0
Assurance,2024*,1194.0
Agriculture,2024*,662.0
Transports,2024*,1355.0
Grands travaux,2024*,943.0
Télécommunications,2024*,1201.0
Pêche,2024*,34.0
Autres services,2024*,3235.0
Divers secteurs,2024*,163.0
TOTAL,2024*,43802.0
Industrie,Janv-Sept 2025*,15988.0
Immobilier,Janv-Sept 2025*,9118.0
Commerce,Janv-Sept 2025*,3687.0
Energie et mines,Janv-Sept 2025*,3658.0
Tourisme,Janv-Sept 2025*,2616.0
Holding,Janv-Sept 2025*,1961.0
Banque,Janv-Sept 2025*,886.0
Assurance,Janv-Sept 2025*,794.0
Agriculture,Janv-Sept 2025*,752.0
Transports,Janv-Sept 2025*,528.0
Grands travaux,Janv-Sept 2025*,459.0
Télécommunications,Janv-Sept 2025*,77.0
Pêche,Janv-Sept 2025*,6.0
Autres services,Janv-Sept 2025*,3005.0
Divers secteurs,Janv-Sept 2025*,74.0
TOTAL,Janv-Sept 2025*,43609.0
