trimestre,division,ice,type
T1/2010,"1- Alimentation, boissons et tabacs",152.9,export
T1/2010,2- Energie et lubrifiants,125.6,export
T1/2010,3- Produits bruts d'origine animale et vegetale,213.8,export
T1/2010,4- Produits bruts d'origine minerale,219.7,export
T1/2010,5- Demi-Produits,205.1,export
T1/2010,6- Produits finis d'equipement agricole,130.6,export
T1/2010,7- Produits finis d'equipement industriel,130.6,export
T1/2010,8- Produits finis de consommation,123.1,export
T1/2010,EXPORTATIONS,155.7,export
T1/2010,"1- Alimentation, boissons et tabacs",184.7,import
T1/2010,2- Energie et lubrifiants,280.9,import
T1/2010,3- Produits bruts d'origine animale et vegetale,198.2,import
T1/2010,4- Produits bruts d'origine minerale,174.9,import
T1/2010,5- Demi-Produits,182.0,import
T1/2010,6- Produits finis d'equipement agricole,167.6,import
T1/2010,7- Produits finis d'equipement industriel,160.7,import
T1/2010,8- Produits finis de consommation,164.9,import
T1/2010,IMPORTATIONS,189.9,import
T2/2010,"1- Alimentation, boissons et tabacs",157.8,export
T2/2010,2- Energie et lubrifiants,247.0,export
T2/2010,3- Produits bruts d'origine animale et vegetale,194.4,export
T2/2010,4- Produits bruts d'origine minerale,278.9,export
T2/2010,5- Demi-Produits,244.2,export
T2/2010,6- Produits finis d'equipement agricole,138.2,export
T2/2010,7- Produits finis d'equipement industriel,138.2,export
T2/2010,8- Produits finis de consommation,130.0,export
T2/2010,EXPORTATIONS,173.1,export
T2/2010,"1- Alimentation, boissons et tabacs",187.6,import
T2/2010,2- Energie et lubrifiants,280.0,import
T2/2010,3- Produits bruts d'origine animale et vegetale,265.5,import
T2/2010,4- Produits bruts d'origine minerale,202.0,import
T2/2010,5- Demi-Produits,192.4,import
T2/2010,6- Produits finis d'equipement agricole,198.3,import
T2/2010,7- Produits finis d'equipement industriel,197.2,import
T2/2010,8- Produits finis de consommation,162.2,import
T2/2010,IMPORTATIONS,202.8,import
T3/2010,"1- Alimentation, boissons et tabacs",163.3,export
T3/2010,2- Energie et lubrifiants,202.2,export
T3/2010,3- Produits bruts d'origine animale et vegetale,243.3,export
T3/2010,4- Produits bruts d'origine minerale,280.2,export
T3/2010,5- Demi-Produits,252.5,export
T3/2010,6- Produits finis d'equipement agricole,162.3,export
T3/2010,7- Produits finis d'equipement industriel,162.3,export
T3/2010,8- Produits finis de consommation,150.4,export
T3/2010,EXPORTATIONS,187.1,export
T3/2010,"1- Alimentation, boissons et tabacs",206.9,import
T3/2010,2- Energie et lubrifiants,287.3,import
T3/2010,3- Produits bruts d'origine animale et vegetale,263.0,import
T3/2010,4- Produits bruts d'origine minerale,191.2,import
T3/2010,5- Demi-Produits,193.9,import
T3/2010,6- Produits finis d'equipement agricole,195.3,import
T3/2010,7- Produits finis d'equipement industriel,187.0,import
T3/2010,8- Produits finis de consommation,166.4,import
T3/2010,IMPORTATIONS,205.3,import
