division,ice,annee,trimestre,type
"1- Alimentation, boissons et tabacs",98.1,2024,t3,export
2- Energie et lubrifiants,97.9,2024,t3,export
3- Produits bruts d’origine animale et végétale,184.2,2024,t3,export
4- Produits bruts d’origine minérale,121.5,2024,t3,export
5- Demi-Produits,125.8,2024,t3,export
6- Produits finis d’équipement agricole,96.0,2024,t3,export
7- Produits finis d’équipement industriel,122.3,2024,t3,export
8- Produits finis de consommation,109.5,2024,t3,export
EXPORTATIONS,116.9,2024,t3,export
"1- Alimentation, boissons et tabacs",125.7,2024,t3,import
2- Energie et lubrifiants,97.8,2024,t3,import
3- Produits bruts d’origine animale et végétale,112.3,2024,t3,import
4- Produits bruts d’origine minérale,64.4,2024,t3,import
5- Demi-Produits,126.5,2024,t3,import
6- Produits finis d’équipement agricole,110.7,2024,t3,import
7- Produits finis d’équipement industriel,99.6,2024,t3,import
8- Produits finis de consommation,117.6,2024,t3,import
IMPORTATIONS,110.8,2024,t3,import
