division_par_produit,ipc,annee,mois
Produits alimentaires,114.6,2011,janvier
01 - Produits alimentaires et boissons non alcoolisées,115.0,2011,janvier
02 - Boissons alcoolisées et tabac,108.3,2011,janvier
Produits non alimentaires,104.7,2011,janvier
03 - Articles d'habillements et chaussures,105.5,2011,janvier
"04 - Logements, eau, électricité et autres combustibles",104.6,2011,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",106.6,2011,janvier
06 - Santé,103.0,2011,janvier
07 - Transport,103.0,2011,janvier
08 - Communication,89.2,2011,janvier
09 - Loisirs et culture,96.5,2011,janvier
10 - Enseignement,118.5,2011,janvier
11 - Restaurants et hôtels,109.8,2011,janvier
12 - Biens et services divers,108.4,2011,janvier
Ensemble,108.8,2011,janvier
