Division par produit,ipc,annee,mois
Produits alimentaires,121.1,2013,février
01 - Produits alimentaires et boissons non alcoolisées,121.8,2013,février
02 - Boissons alcoolisées et tabac,108.5,2013,février
Produits non alimentaires,106.5,2013,février
03 - Articles d'habillements et chaussures,109.1,2013,février
"04 - Logements, eau, électricité et autres combustibles",105.8,2013,février
"05 - Meubles, articles de ménages et entretien courant du foyer",107.3,2013,février
06 - Santé,104.3,2013,février
07 - Transport,109.2,2013,février
08 - Communication,65.4,2013,février
09 - Loisirs et culture,97.4,2013,février
10 - Enseignement,129.6,2013,février
11 - Restaurants et hôtels,115.1,2013,février
12 - Biens et services divers,111.4,2013,février
Ensemble,112.5,2013,février
