Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.9,2023,novembre
02 - Boissons alcoolisées et tabac,136.8,2023,novembre
03 - Articles d'habillements et chaussures,114.7,2023,novembre
"04 - Logements, eau, électricité et autres combustibles",105.0,2023,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",112.0,2023,novembre
06 - Santé,102.6,2023,novembre
07 - Transport,122.2,2023,novembre
08 - Communication,104.2,2023,novembre
09 - Loisirs et culture,105.4,2023,novembre
10 - Enseignement,119.1,2023,novembre
11 - Restaurants et hôtels,115.2,2023,novembre
12 - Biens et services divers,113.2,2023,novembre
Ensemble,118.3,2023,novembre
Produits alimentaires,129.2,2023,novembre
Produits non alimentaires,111.2,2023,novembre
