"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"30/01/2026","10,8109","10,8274","10,8495","10,7941","","-0,15%"
"29/01/2026","10,8274","10,8220","10,8568","10,8024","","0,04%"
"28/01/2026","10,8226","10,9024","10,9072","10,7934","","-0,74%"
"27/01/2026","10,9029","10,7898","10,9368","10,7688","","1,09%"
"26/01/2026","10,7857","10,7734","10,8331","10,7678","","0,11%"
"23/01/2026","10,7738","10,7598","10,7887","10,7389","","-0,06%"
"22/01/2026","10,7805","10,7388","10,7820","10,7172","","0,38%"
"21/01/2026","10,7397","10,7479","10,7744","10,7231","","-0,14%"
"20/01/2026","10,7549","10,7335","10,7903","10,7151","","0,23%"
"19/01/2026","10,7302","10,6857","10,7450","10,6751","","0,22%"
"16/01/2026","10,7069","10,7112","10,7294","10,6915","","-0,04%"
"15/01/2026","10,7112","10,7266","10,7446","10,7021","","-0,19%"
"14/01/2026","10,7314","10,7262","10,7542","10,7093","","0,05%"
"13/01/2026","10,7257","10,7404","10,7579","10,7105","","-0,17%"
"12/01/2026","10,7440","10,7417","10,8104","10,7288","","-0,06%"
"09/01/2026","10,7503","10,7648","10,7837","10,7373","","-0,13%"
"08/01/2026","10,7648","10,7587","10,7744","10,7391","","0,05%"
"07/01/2026","10,7589","10,7228","10,7883","10,7199","","0,33%"
"06/01/2026","10,7237","10,7389","10,7710","10,7189","","-0,14%"
"05/01/2026","10,7384","10,6960","10,7473","10,6480","","0,43%"
"02/01/2026","10,6923","10,7075","10,7369","10,6875","","-0,11%"
"01/01/2026","10,7043","10,7112","10,7133","10,7016","","-0,07%"
"31/12/2025","10,7113","10,7113","10,7271","10,6885","","0,00%"
"30/12/2025","10,7113","10,7164","10,7266","10,6906","","-0,06%"
"29/12/2025","10,7177","10,7350","10,7496","10,6932","","-0,25%"
"26/12/2025","10,7448","10,7218","10,7541","10,7205","","0,24%"
"25/12/2025","10,7195","10,7278","10,7511","10,7172","","-0,08%"
"24/12/2025","10,7279","10,7671","10,7752","10,7231","","-0,36%"
"23/12/2025","10,7671","10,7417","10,7801","10,7287","","0,14%"
"22/12/2025","10,7517","10,7288","10,7623","10,7203","","0,15%"
"19/12/2025","10,7353","10,7380","10,7589","10,7206","","-0,17%"
"18/12/2025","10,7538","10,7511","10,7726","10,7206","","0,03%"
