"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"30/01/2026","9,1231","9,0437","9,1255","9,0376","","0,86%"
"29/01/2026","9,0451","9,0530","9,0860","9,0297","","-0,09%"
"28/01/2026","9,0535","9,0543","9,0837","9,0157","","-0,01%"
"27/01/2026","9,0544","9,0820","9,0987","9,0320","","-0,30%"
"26/01/2026","9,0819","9,1171","9,1271","9,0655","","-0,28%"
"23/01/2026","9,1072","9,1530","9,1773","9,1032","","-0,69%"
"22/01/2026","9,1706","9,1913","9,2029","9,1520","","-0,24%"
"21/01/2026","9,1925","9,1671","9,2066","9,1574","","0,21%"
"20/01/2026","9,1730","9,2165","9,2230","9,1528","","-0,44%"
"19/01/2026","9,2136","9,2330","9,2338","9,2060","","-0,19%"
"16/01/2026","9,2310","9,2320","9,2462","9,2026","","0,04%"
"15/01/2026","9,2274","9,2125","9,2464","9,2031","","0,12%"
"14/01/2026","9,2167","9,2130","9,2265","9,1961","","0,05%"
"13/01/2026","9,2125","9,2054","9,2284","9,1932","","0,04%"
"12/01/2026","9,2084","9,2456","9,2518","9,1935","","-0,31%"
"09/01/2026","9,2372","9,2327","9,2601","9,2155","","0,05%"
"08/01/2026","9,2327","9,2138","9,2419","9,2031","","0,18%"
"07/01/2026","9,2159","9,1755","9,2309","9,1678","","0,45%"
"06/01/2026","9,1746","9,1613","9,1997","9,1414","","0,15%"
"05/01/2026","9,1613","9,1460","9,1956","9,1417","","0,42%"
"02/01/2026","9,1231","9,1180","9,1580","9,1073","","0,11%"
"01/01/2026","9,1135","9,1194","9,1220","9,1133","","-0,07%"
"31/12/2025","9,1195","9,1173","9,1454","9,1007","","0,02%"
"30/12/2025","9,1175","9,1028","9,1217","9,0850","","0,16%"
"29/12/2025","9,1029","9,1197","9,1213","9,0876","","-0,26%"
"26/12/2025","9,1270","9,1210","9,1325","9,1069","","0,29%"
"25/12/2025","9,1009","9,1079","9,1270","9,1006","","-0,08%"
"24/12/2025","9,1080","9,1289","9,1365","9,1002","","-0,23%"
"23/12/2025","9,1289","9,1337","9,1445","9,1064","","-0,15%"
"22/12/2025","9,1422","9,1673","9,1743","9,1248","","-0,28%"
"19/12/2025","9,1680","9,1605","9,1819","9,1418","","-0,07%"
"18/12/2025","9,1740","9,1573","9,1802","9,1368","","0,18%"
"17/12/2025","9,1573","9,1595","9,1822","9,1416","","-0,02%"
"16/12/2025","9,1595","9,1800","9,1867","9,1240","","-0,21%"
"15/12/2025","9,1786","9,1818","9,2021","9,1643","","-0,13%"
"12/12/2025","9,1907","9,1754","9,2184","9,1661","","0,17%"
"11/12/2025","9,1755","9,2114","9,2289","9,1597","","-0,39%"
"10/12/2025","9,2116","9,2549","9,2606","9,2069","","-0,47%"
"09/12/2025","9,2552","9,2474","9,2693","9,2343","","0,05%"
"08/12/2025","9,2510","9,2205","9,2737","9,2181","","0,17%"
"05/12/2025","9,2356","9,2343","9,2476","9,2194","","0,01%"
"04/12/2025","9,2349","9,2258","9,2443","9,2058","","0,10%"
"03/12/2025","9,2257","9,2362","9,2452","9,2136","","-0,09%"
"02/12/2025","9,2343","9,2594","9,2712","9,2330","","-0,24%"
"01/12/2025","9,2565","9,2642","9,2751","9,2373","","-0,15%"
"28/11/2025","9,2700","9,2600","9,2973","9,2448","","0,11%"
"27/11/2025","9,2600","9,2461","9,2843","9,2318","","0,15%"
"26/11/2025","9,2461","9,2696","9,2780","9,2372","","-0,25%"
"25/11/2025","9,2696","9,2916","9,2955","9,2486","","-0,24%"
"24/11/2025","9,2916","9,2814","9,2948","9,2642","","-0,02%"
"21/11/2025","9,2932","9,2810","9,3043","9,2651","","0,12%"
"20/11/2025","9,2824","9,2739","9,3038","9,2619","","0,08%"
"19/11/2025","9,2749","9,2569","9,2920","9,2363","","0,20%"
"18/11/2025","9,2563","9,2593","9,2628","9,2409","","-0,03%"
"17/11/2025","9,2593","9,2365","9,2678","9,2144","","0,16%"
"14/11/2025","9,2443","9,2499","9,2610","9,2170","","-0,04%"
"13/11/2025","9,2484","9,2817","9,2932","9,2398","","-0,36%"
"12/11/2025","9,2816","9,2766","9,3041","9,2641","","0,05%"
"11/11/2025","9,2767","9,2739","9,2925","9,2569","","-0,02%"
"10/11/2025","9,2783","9,2551","9,2929","9,2468","","0,12%"
"07/11/2025","9,2670","9,2779","9,2963","9,2555","","-0,12%"
"06/11/2025","9,2780","9,3074","9,3098","9,2686","","-0,32%"
"05/11/2025","9,3075","9,3150","9,3267","9,2937","","-0,08%"
"04/11/2025","9,3146","9,3111","9,3273","9,2915","","0,04%"
"03/11/2025","9,3112","9,2877","9,3295","9,2711","","0,24%"
"31/10/2025","9,2893","9,2620","9,3135","9,2479","","0,29%"
"30/10/2025","9,2621","9,2462","9,2839","9,2172","","0,17%"
"29/10/2025","9,2464","9,2157","9,2540","9,2014","","0,31%"
"28/10/2025","9,2178","9,2057","9,2431","9,1954","","0,13%"
"27/10/2025","9,2057","9,2236","9,2395","9,2011","","-0,32%"
"24/10/2025","9,2353","9,2321","9,2489","9,2081","","0,03%"
"23/10/2025","9,2321","9,2397","9,2709","9,2205","","-0,08%"
"22/10/2025","9,2398","9,2411","9,2718","9,2231","","-0,01%"
"21/10/2025","9,2411","9,2064","9,2428","9,1816","","0,35%"
"20/10/2025","9,2093","9,1744","9,2215","9,1606","","0,43%"
"17/10/2025","9,1703","9,1800","9,1956","9,1336","","-0,09%"
"16/10/2025","9,1783","9,1810","9,2447","9,1593","","-0,03%"
"15/10/2025","9,1810","9,1685","9,1991","9,1488","","0,14%"
"14/10/2025","9,1686","9,1904","9,2052","9,1582","","-0,24%"
"13/10/2025","9,1905","9,1428","9,1979","9,1365","","0,49%"
"10/10/2025","9,1461","9,1618","9,1736","9,1350","","-0,13%"
"09/10/2025","9,1580","9,1151","9,1737","9,0996","","0,48%"
"08/10/2025","9,1147","9,1210","9,1522","9,1028","","-0,13%"
"07/10/2025","9,1270","9,1159","9,1392","9,1091","","0,13%"
"06/10/2025","9,1155","9,1181","9,1641","9,1056","","-0,03%"
"03/10/2025","9,1180","9,1226","9,1335","9,0919","","-0,05%"
"02/10/2025","9,1228","9,0795","9,1484","9,0702","","0,49%"
"01/10/2025","9,0787","9,0883","9,1219","9,0709","","-0,11%"
"30/09/2025","9,0885","9,0909","9,1201","9,0690","","-0,02%"
"29/09/2025","9,0905","9,0930","9,1056","9,0620","","-0,10%"
"26/09/2025","9,0996","9,0884","9,1212","9,0723","","0,12%"
"25/09/2025","9,0885","9,0603","9,1022","9,0252","","0,31%"
"24/09/2025","9,0603","9,0363","9,0719","9,0178","","0,27%"
"23/09/2025","9,0363","9,0289","9,0544","9,0114","","0,08%"
"22/09/2025","9,0289","9,0301","9,0484","9,0125","","-0,02%"
"19/09/2025","9,0305","9,0062","9,0548","8,9961","","0,27%"
"18/09/2025","9,0064","8,9858","9,0320","8,9675","","0,23%"
"17/09/2025","8,9858","8,9620","8,9910","8,9380","","0,27%"
