annee,mois,01 - Produits alimentaires et boissons non alcoolisées,02 - Boissons alcoolisées et tabac,03 - Articles d'habillements et chaussures,"04 - Logements, eau, électricité et autres combustibles","05 - Meubles, articles de ménages et entretien courant du foyer",06 - Santé,07 - Transport,08 - Communication,09 - Loisirs et culture,10 - Enseignement,11 - Restaurants et hôtels,12 - Biens et services divers,Ensemble,Produits alimentaires,Produits non alimentaires
2010,août,113.9,108.3,103.7,104.4,106.2,102.9,103.2,90.5,96.8,113.3,109.7,107.1,108.0,113.6,104.1
2010,avril,115.6,108.3,104.2,104.2,106.0,102.9,103.3,90.6,97.4,113.3,109.1,106.5,108.7,115.2,104.0
2010,décembre,114.5,108.3,105.1,104.6,106.3,103.0,102.9,89.2,96.6,118.5,109.8,108.3,108.6,114.2,104.6
2010,février,112.5,108.3,104.5,104.2,106.0,102.5,103.5,90.9,97.8,113.3,108.2,106.4,107.5,112.3,104.1
2010,janvier,110.2,108.2,104.5,104.2,106.0,102.4,103.2,90.9,97.7,113.3,108.0,106.2,106.5,110.1,104.0
2010,juillet,111.4,108.3,103.5,104.3,106.1,102.9,103.3,90.5,96.8,113.3,109.7,107.0,107.0,111.2,104.1
2010,juin,112.8,108.3,103.7,104.3,106.2,102.9,103.2,90.5,96.9,113.3,109.4,106.7,107.6,112.6,104.0
2010,mai,115.6,108.3,104.0,104.3,106.1,103.0,103.2,90.5,97.2,113.3,109.2,106.6,108.7,115.2,104.0
2010,mars,116.5,108.3,104.3,104.2,106.1,102.6,103.3,90.9,97.6,113.3,108.4,106.4,109.0,116.0,104.0
2010,novembre,117.1,108.3,104.9,104.6,106.3,103.0,103.2,89.2,96.7,118.5,109.8,108.0,109.6,116.7,104.6
2010,octobre,119.2,108.3,104.6,104.4,106.3,103.0,103.3,90.5,96.7,118.5,109.8,107.9,110.4,118.6,104.6
2010,septembre,117.0,108.3,104.1,104.3,106.3,102.9,103.3,90.5,96.7,118.0,109.7,107.2,109.5,116.6,104.5
2011,août,118.7,108.3,106.2,104.8,107.3,103.0,103.1,89.2,96.2,118.5,111.5,109.0,110.4,118.2,104.9
2011,avril,114.0,108.3,105.3,104.7,106.9,103.0,102.9,89.2,96.4,118.5,110.3,108.7,108.4,113.7,104.7
2011,décembre,116.4,108.4,107.7,105.0,107.4,103.5,103.5,78.1,96.5,122.1,112.2,110.3,109.6,116.0,105.0
2011,février,117.1,108.3,105.4,104.6,106.7,103.0,103.0,89.2,96.5,118.5,110.1,108.6,109.7,116.7,104.7
2011,janvier,115.0,108.3,105.5,104.6,106.6,103.0,103.0,89.2,96.5,118.5,109.8,108.4,108.8,114.6,104.7
2011,juillet,115.1,108.3,105.4,104.8,107.2,103.0,102.9,89.2,96.3,118.5,111.4,108.9,108.9,114.7,104.9
2011,juin,113.5,108.3,105.3,104.7,107.1,103.0,102.9,89.2,96.3,118.5,111.2,108.8,108.3,113.3,104.8
2011,mai,114.6,108.3,105.3,104.7,107.1,103.0,103.0,89.2,96.4,118.5,110.4,108.7,108.7,114.3,104.8
2011,mars,116.8,108.3,105.3,104.6,106.8,103.0,103.1,89.2,96.4,118.5,110.3,108.6,109.6,116.4,104.8
2011,novembre,117.9,108.3,107.3,105.0,107.4,103.2,103.4,78.1,96.6,122.1,112.0,110.3,110.1,117.4,104.9
2011,octobre,117.8,108.3,107.1,104.9,107.3,103.1,103.3,78.1,96.6,122.1,112.0,110.2,110.0,117.3,104.8
2011,septembre,118.9,108.3,106.6,104.8,107.4,103.0,103.2,78.1,96.2,121.7,111.8,110.1,110.4,118.3,104.7
2012,août,120.6,108.5,108.3,105.3,107.2,103.9,108.5,65.6,97.1,122.1,113.1,110.7,111.5,120.0,105.5
2012,avril,117.1,108.4,107.9,105.2,107.3,103.7,103.6,71.7,96.3,122.1,112.9,110.5,109.7,116.7,104.8
2012,décembre,121.9,108.5,109.2,105.6,106.9,103.9,108.7,65.6,97.4,129.6,114.9,111.1,112.4,121.2,106.2
2012,février,117.7,108.4,108.0,105.1,107.4,103.5,103.7,78.0,96.3,122.1,112.5,110.4,110.1,117.2,105.1
2012,janvier,116.9,108.4,108.2,105.1,107.4,103.5,103.7,78.0,96.5,122.1,112.4,110.3,109.8,116.4,105.1
2012,juillet,118.8,108.5,107.8,105.3,107.2,103.9,108.3,65.6,97.0,122.1,113.1,110.7,110.7,118.3,105.4
2012,juin,118.0,108.5,107.8,105.3,107.3,103.9,107.8,65.6,97.1,122.1,113.2,110.6,110.4,117.5,105.3
2012,mai,117.8,108.4,107.6,105.3,107.3,103.8,103.7,65.6,96.4,122.1,112.9,110.6,109.8,117.3,104.4
2012,mars,117.8,108.4,107.9,105.2,107.4,103.6,103.5,71.6,96.4,122.1,112.5,110.5,109.9,117.3,104.7
2012,novembre,120.7,108.5,108.9,105.5,107.0,103.9,108.5,65.6,97.4,129.6,114.9,111.0,111.9,120.1,106.2
2012,octobre,121.1,108.5,108.4,105.4,107.0,103.9,108.3,65.6,97.3,129.6,113.6,110.9,112.0,120.4,106.0
2012,septembre,120.7,108.5,108.3,105.3,107.1,103.9,108.5,65.6,97.1,126.1,113.3,110.7,111.7,120.0,105.7
2013,août,123.8,115.5,110.0,106.7,107.5,104.9,109.6,59.5,97.3,129.7,117.5,112.2,113.6,123.4,106.8
2013,avril,120.4,115.5,109.0,106.3,107.3,104.4,109.4,65.4,97.4,129.6,116.3,112.1,112.3,120.2,106.8
