year,value_exports,value_imports,country
2024,67454245753.4821,80608604200.2698,Morocco
2023,61945010973.2121,74040709935.9332,Morocco
2022,58681916332.2068,73752886131.4127,Morocco
2021,47060549921.4328,60199361761.1157,Morocco
2020,37369771251.448,46174693558.8201,Morocco
2019,43952860516.0238,54024112942.437,Morocco
2018,43077520359.3568,55299739977.2557,Morocco
2017,38651885813.4308,49273637902.1126,Morocco
2016,34291493550.4303,45062154625.7161,Morocco
2015,33119569273.8522,41176430827.7419,Morocco
2014,35897680523.6335,49749730471.191,Morocco
2013,35014914037.2784,50467526991.8377,Morocco
2012,34323797625.1804,49324878352.9361,Morocco
2011,35175698017.5837,49394706345.8953,Morocco
2010,30046721232.9862,40097025623.1379,Morocco
